Category,Issue Type,Line Numbers,Severity,Description,Recommendation,Code Example
Code Duplication,Data Processing,51-52;167-168;273-274,Medium,DataFrame copying logic repeated across chart functions,Extract into shared helper function,"resa = df_resa.copy() if not df_resa.empty else pd.DataFrame(...)"
Code Duplication,Data Processing,54-57;170-173;276-279,Medium,Datetime conversion logic duplicated,Include in shared helper function,"resa[""mois""] = pd.to_datetime(resa[""mois""])"
Code Duplication,Data Processing,175-179;281-285,Medium,Data cleaning/merging code repeated,Include in shared helper function,"df = pd.merge(resa, ca, on=""mois"", how=""outer"")"
Code Duplication,Normalization,66-73;188-194;290-295,Medium,Normalization calculations duplicated across functions,Extract normalization logic into separate function,"resa_max = df[""nb_reservations""].max() if df[""nb_reservations""].max() > 0 else 1"
Error Handling,Division by Zero,186;414,High,Potential division by zero masked by replace(0 1),Add proper validation before division,"df[""ca_per_resa""] = df[""ca_net""] / df[""nb_reservations""].replace(0, 1)"
Error Handling,Null Check,393,Medium,Missing null check before correlation calculation,Add validation for sufficient data,"correlation = df[""nb_reservations""].corr(df[""ca_net""])"
Error Handling,Index Error,688-689,High,Potential KeyError if dataframes are empty when using idxmax(),Add empty dataframe checks before idxmax(),"best_resa_month = df_merged.loc[df_merged[""nb_reservations""].idxmax(), ""mois""]"
Performance,Repeated Operations,51-52;167-168;273-274,Low,Repeated dataframe copying in multiple functions,Use shared data preparation function,Multiple .copy() calls
Performance,Inefficient Processing,175-179;281-285,Low,Repeated data cleaning operations,Centralize data processing logic,Duplicate merge and numeric conversion
Magic Numbers,Hard-coded Values,348,Low,Hard-coded range values in chart layout,Define as named constants,"range=[0, 105]"
Magic Numbers,Hard-coded Values,399;704,Low,Hard-coded thresholds for trend analysis,Define as configuration constants,"if len(df) >= 6"
Magic Numbers,Hard-coded Values,706-708,Low,Hard-coded efficiency multipliers,Define as named constants,"if recent_efficiency > avg_ca_per_resa * 1.1"
Code Quality,Function Length,418-489,Medium,fetch_data function is too long and complex,Split into smaller focused functions,72-line function with multiple responsibilities
Code Quality,Nested Logic,399-411,Medium,Deeply nested conditional logic in trend analysis,Extract trend analysis into separate function,Multiple nested if statements
Code Quality,Mixed Responsibilities,635-714,Medium,Advanced analytics section mixes UI and calculation logic,Separate calculation logic from display logic,80-line block mixing calculations and UI
Security,SQL Injection,430-431;449-450,Low,Dynamic SQL construction (though parameterized),Consider using ORM or query builder,Dynamic WHERE clause construction
Input Validation,Missing Validation,500-503,Medium,No validation on date inputs,Add date range validation,No checks for date_debut < date_fin
Input Validation,Missing Validation,512,Low,No validation on text input,Add input sanitization for organizer field,Direct use of user input in SQL LIKE
Constants,Missing Constants,505,Low,Status options hardcoded in UI,Move to configuration or constants,"[""Encaissée"", ""Annulée"", ""Facturée"", ""Posée"", ""Confirmée""]"
Error Messages,User Experience,528,Low,Generic error message,Provide more specific error context,"st.error(f""Erreur lors du chargement des données : {error}"")"
Code Organization,Comments,7-8;45-46;357-358;491,Low,Incomplete comment sections,Complete or remove placeholder comments,"# functions to :"
Code Organization,Function Grouping,11-494,Medium,All functions in single file,Consider splitting into modules,500+ line single file
Data Validation,Type Safety,61-63;177-179;284-285,Medium,No validation of expected column types,Add schema validation for dataframes,Assumes numeric columns without validation
UI/UX,User Feedback,524-525,Low,Generic loading message,Provide more specific loading states,"Chargement des données..."
Maintainability,Configuration,515-518,Low,Chart types hardcoded in selectbox,Move to configuration,Hardcoded chart type options
Testing,Missing Tests,N/A,High,No unit tests for calculation functions,Add unit tests for core business logic,No test coverage
Documentation,Missing Docstrings,48-162;164-268;270-355,Medium,Complex functions lack detailed docstrings,Add comprehensive docstrings for all functions,Basic or missing function documentation
Accessibility,Missing Labels,N/A,Low,Some UI elements may lack accessibility labels,Add aria-labels and help text,Consider screen reader compatibility
